date,Closing price
2019/1/2,219.5
2019/1/3,215.5
2019/1/4,208
2019/1/7,213
2019/1/8,211
2019/1/9,215.5
2019/1/10,216
2019/1/11,220.5
2019/1/14,218.5
2019/1/15,221
2019/1/16,217.5
2019/1/17,220.5
2019/1/18,218.5
2019/1/21,221
2019/1/22,223
2019/1/23,220.5
2019/1/24,222.5
2019/1/25,226
2019/1/28,229
2019/1/29,222.5
2019/1/30,221
2019/2/11,228
2019/2/12,230
2019/2/13,229
2019/2/14,227
2019/2/15,227
2019/2/18,230
2019/2/19,229
2019/2/20,234.5
2019/2/21,236.5
2019/2/22,236.5
2019/2/25,238
2019/2/26,239.5
2019/2/27,239
2019/3/4,235.5
2019/3/5,233
2019/3/6,234
2019/3/7,234
2019/3/8,230
2019/3/11,230.5
2019/3/12,235.5
2019/3/13,237
2019/3/14,234.5
2019/3/15,239
2019/3/18,241
2019/3/19,240.5
2019/3/20,242
2019/3/21,245.5
2019/3/22,248.5
2019/3/25,241.5
2019/3/26,244
2019/3/27,241.5
2019/3/28,242
2019/3/29,245.5
2019/4/1,245.5
2019/4/2,246
2019/4/3,246.5
2019/4/8,253
2019/4/9,254
2019/4/10,254
2019/4/11,252
2019/4/12,252
2019/4/15,255.5
2019/4/16,257
2019/4/17,261.5
2019/4/18,264.5
2019/4/19,264.5
2019/4/22,266
2019/4/23,268
2019/4/24,269
2019/4/25,267.5
2019/4/26,260
2019/4/29,259.5
2019/4/30,259
2019/5/2,259
2019/5/3,265
2019/5/6,259
2019/5/7,262.5
2019/5/8,260
2019/5/9,256.5
2019/5/10,256
2019/5/13,250.5
2019/5/14,248.5
2019/5/15,249
2019/5/16,247
2019/5/17,241.5
2019/5/20,238
2019/5/21,234
2019/5/22,238
2019/5/23,230
2019/5/24,233
2019/5/27,231
2019/5/28,230.5
2019/5/29,229.5
2019/5/30,231
2019/5/31,235.5
2019/6/3,238
2019/6/4,233
2019/6/5,235
2019/6/6,232
2019/6/10,240
2019/6/11,244.5
2019/6/12,246
2019/6/13,240
2019/6/14,236
2019/6/17,233
2019/6/18,235.5
2019/6/19,244
2019/6/20,245
2019/6/21,248.5
2019/6/24,241
2019/6/25,238.5
2019/6/26,234.5
2019/6/27,240.5
